Number of threads: 
Job ID: 2464
Machine: batman 

/home/jlenis/.bashrc: line 19: .bash_profile: No such file or directory
/usr/lib64/qt-3.3/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/opt/util:/home/jlenis/bin:/opt/intel/bin:/home/jlenis/numa_benchmark/bin/others/pChase/build
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 11: date: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 14: mkdir: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 15: cd: chase-: No such file or directory
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 18: uname: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 19: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 20: cat: command not found
/home/jlenis/numa_benchmark/bin/others/pChase/scripts/test-memory.sh: line 27: date: command not found
Benchmark initiated at
pointer size (bytes),cache line size (bytes),page size (bytes),chain size (bytes),thread size (bytes),test size (bytes),chains per thread,number of threads,iterations,loop length,prefetch hint,experiments,access pattern,stride,numa placement,offset or mask,numa domains,domain map,operations per chain,total operations,elapsed time (seconds),elapsed time (timer ticks),clock resolution (ns),memory latency (ns),memory bandwidth (MB/s)
8,64,4096,8192,8192,8192,1,1,773139,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,44289540,22.58,10.11,6331.906
8,64,4096,8192,8192,8192,1,1,773139,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,44283870,22.58,10.11,6332.717
8,64,4096,8192,8192,8192,1,1,773139,100,nta,5,forward,1,local,0,1,"0:0",128,128,1.000,44290827,22.58,10.11,6331.722
8,64,4096,8192,8192,8192,1,1,773362,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,45226284,22.12,10.11,6333.126
8,64,4096,8192,8192,8192,1,1,773362,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,45225899,22.12,10.11,6333.180
8,64,4096,8192,8192,8192,1,1,773362,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,45226121,22.12,10.11,6333.149
8,64,4096,8192,8192,8192,1,1,773362,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.000,45227507,22.12,10.11,6332.955
8,64,4096,8192,8192,8192,1,1,773362,100,t0,5,forward,1,local,0,1,"0:0",128,128,1.001,45232832,22.12,10.11,6332.209
8,64,4096,8192,8192,8192,1,1,772739,100,t1,5,forward,1,local,0,1,"0:0",128,128,0.999,44254658,22.58,10.10,6333.619
8,64,4096,8192,8192,8192,1,1,772739,100,t1,5,forward,1,local,0,1,"0:0",128,128,1.001,44305894,22.58,10.12,6326.294
8,64,4096,8192,8192,8192,1,1,772739,100,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,44257201,22.58,10.11,6333.255
8,64,4096,8192,8192,8192,1,1,772739,100,t1,5,forward,1,local,0,1,"0:0",128,128,1.000,44258683,22.58,10.11,6333.043
8,64,4096,8192,8192,8192,1,1,772739,100,t1,5,forward,1,local,0,1,"0:0",128,128,0.999,44255532,22.58,10.11,6333.494
8,64,4096,8192,8192,8192,1,1,773375,100,t2,5,forward,1,local,0,1,"0:0",128,128,1.000,45224769,22.12,10.11,6333.445
8,64,4096,8192,8192,8192,1,1,773375,100,t2,5,forward,1,local,0,1,"0:0",128,128,1.000,45229254,22.12,10.11,6332.817
