cache-references;1.43E+11;1.43E+11;1.42E+11;1.36E+11;1.28E+11;1.28E+11;;1.12;1.12;1.11;1.06;1.28054E+11;;;;;cache-references;1.118977646;1.120492733;1.109442841;1.060392193;1.28E+11;;;cache-references;1.43E+11;1.43E+11;1.42E+11;1.36E+11;1.28E+11;1.28E+11;;;;;;
faults;12717;12735;12769;12803;12839;12717;;12717;1;1;1.01;1.01;;;;;faults;12717;1.001415428;1.004089015;1.006762601;1.009593458;;;faults;12717;12735;12769;12803;12839;12717;;;;;;
migrations;9;15;36;53;66;9;;9;1.67;4;5.89;7.33;;;;;migrations;9;1.666666667;4;5.888888889;7.333333333;;;migrations;9;15;36;53;66;9;;;;;;
time;68.29035685;43.17511402;37.21752763;36.1838265;35.37514098;35.37514098;;1.93;1.22;1.05;1.02;35.38;;;;;time;1.930461758;1.220493059;1.052081394;1.022860277;35.37514098;;;time;68.29035685;43.17511402;37.21752763;36.1838265;35.37514098;35.37514098;;;;;;
;20;20;20;20;20;20;;20;20;20;20;20;;;;;;20;20;20;20;20;;;;20;20;20;20;20;20;;;;;;
copy;28573.2;49233.1;74252.4;76110.6;80508.9;28573.2;;28573.2;1.72;2.6;2.66;2.82;;;;;copy;28573.2;1.723051671;2.598672882;2.66370585;2.817636807;;;copy;28573.2;49233.1;74252.4;76110.6;80508.9;28573.2;;;;;;
scale;29370.2;48004.1;72260.5;76692;81118.3;29370.2;;29370.2;1.63;2.46;2.61;2.76;;;;;scale;29370.2;1.634449204;2.460333944;2.611218174;2.761925353;;;scale;29370.2;48004.1;72260.5;76692;81118.3;29370.2;;;;;;
add;25605.3;44063;67846.9;78057.4;85826.2;25605.3;;25605.3;1.72;2.65;3.05;3.35;;;;;add;25605.3;1.720854667;2.649720956;3.048486056;3.351891991;;;add;25605.3;44063;67846.9;78057.4;85826.2;25605.3;;;;;;
triad;25714.8;43894.4;67583.9;74885.7;84162.5;25714.8;;25714.8;1.71;2.63;2.91;3.27;;;;;triad;25714.8;1.706970305;2.628210214;2.912163423;3.272920653;;;triad;25714.8;43894.4;67583.9;74885.7;84162.5;25714.8;;;;;;
cycles;1.71E+12;2.00E+12;2.48E+12;3.25E+12;3.90E+12;1.71E+12;;1.71462E+12;1.16;1.45;1.89;2.28;;;;;cycles;1.71E+12;1.164067261;1.445424799;1.894741674;2.276250224;;;cycles;1.71E+12;2.00E+12;2.48E+12;3.25E+12;3.90E+12;1.71E+12;;;;;;
instructions;6.66E+11;6.82E+11;6.76E+11;7.08E+11;6.91E+11;6.66E+11;;6.66479E+11;1.02;1.01;1.06;1.04;;;;;instructions;6.66E+11;1.023475426;1.014165744;1.062684259;1.036061297;;;instructions;6.66E+11;6.82E+11;6.76E+11;7.08E+11;6.91E+11;6.66E+11;;;;;;
cache-misses;170005771;192840980;224107726;210217004;245206554;170005771;;170005771;1.13;1.32;1.24;1.44;;;;;cache-misses;170005771;1.134320199;1.318235991;1.236528635;1.442342531;;;cache-misses;170005771;192840980;224107726;210217004;245206554;170005771;;;;;;
cache-references;2.90E+11;2.95E+11;2.88E+11;2.81E+11;2.66E+11;2.66E+11;;1.09;1.11;1.08;1.06;2.66243E+11;;;;;cache-references;1.088682333;1.109288311;1.083530718;1.056056299;2.66E+11;;;cache-references;2.90E+11;2.95E+11;2.88E+11;2.81E+11;2.66E+11;2.66E+11;;;;;;
faults;24717;24735;24770;24803;24839;24717;;24717;1;1;1;1;;;;;faults;24717;1.000728244;1.002144273;1.003479387;1.004935874;;;faults;24717;24735;24770;24803;24839;24717;;;;;;
migrations;8;20;33;51;66;8;;8;2.5;4.13;6.38;8.25;;;;;migrations;8;2.5;4.125;6.375;8.25;;;migrations;8;20;33;51;66;8;;;;;;
time;129.0323487;97.6425926;81.03310976;77.97439625;75.73592888;75.73592888;;1.7;1.29;1.07;1.03;75.74;;;;;time;1.70371382;1.289250611;1.069942773;1.029556215;75.73592888;;;time;129.0323487;97.6425926;81.03310976;77.97439625;75.73592888;75.73592888;;;;;;
